title                                            	seller     	itemid      	买家  	买家等级                                      	价格	数量	时间                 	套餐            	买家vip                                                                      
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	古**龙	http://img.alicdn.com/newrank/b_red_5.gif 	  	1 	2016-01-14 17:17:58	颜色分类:黑色套餐:套餐一 	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	o**颖	http://img.alicdn.com/newrank/b_blue_3.gif	  	1 	2016-01-13 22:10:44	颜色分类:黑色套餐:套餐二 	<img src="//img.alicdn.com/tps/i2/T1HbuIXcNkXXXXXXXX-16-16.png" alt="V4会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	s**2	http://img.alicdn.com/newrank/b_red_4.gif 	  	1 	2016-01-13 11:38:20	颜色分类:黑色套餐:套餐八 	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	c**0	http://img.alicdn.com/newrank/b_blue_1.gif	  	1 	2016-01-12 22:21:06	颜色分类:黑色套餐:套餐五 	<img src="//img.alicdn.com/tps/i1/T1GYuIXcRkXXXXXXXX-16-16.png" alt="V3会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	况**贝	                                          	  	1 	2016-01-12 10:58:11	颜色分类:黑色套餐:套餐七 	                                                                           
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	智**9	http://img.alicdn.com/newrank/b_red_4.gif 	  	1 	2016-01-11 21:28:44	颜色分类:黑色套餐:套餐七 	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	福**羲	http://img.alicdn.com/newrank/b_red_1.gif 	  	1 	2016-01-11 20:19:01	颜色分类:黑色套餐:套餐五 	                                                                           
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	給**稳	http://img.alicdn.com/newrank/b_red_2.gif 	  	1 	2016-01-11 14:49:22	颜色分类:黑色套餐:套餐八 	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	于**峰	http://img.alicdn.com/newrank/b_red_4.gif 	  	1 	2016-01-10 22:04:50	颜色分类:黑色套餐:套餐七 	<img src="//img.alicdn.com/tps/i2/T1HbuIXcNkXXXXXXXX-16-16.png" alt="V4会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	阿**野	http://img.alicdn.com/newrank/b_blue_3.gif	  	1 	2016-01-10 21:57:45	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i3/T1GbuIXcNkXXXXXXXX-16-16.png" alt="V5会员">
